id;qb_file;qb_file_content_type;college_master;department_master;course_master;category_master;sub_category_master;subject_master;sub_subject_master;topic_master;sub_topic_master
1;../fake-data/blob/hipster.png;image/png;context-sensitive;AGP back up;SMTP navigating;Arkansas;District dedicated Panama;Ports GB;matrix;Kids parsing;time-frame Consultant Personal Loan Account
2;../fake-data/blob/hipster.png;image/png;budgetary management;Solutions synthesizing;Program;program;Soap Specialist;maximized;Trinidad and Tobago Dollar;Kids Markets Identity;grey
3;../fake-data/blob/hipster.png;image/png;Minnesota;Buckinghamshire;Table;USB contingency;Sleek bottom-line schemas;Practical Metal Sausages Small;online;Gloves analyzing;1080p
4;../fake-data/blob/hipster.png;image/png;compressing;Ouguiya Outdoors Garden;Hong Kong productivity Berkshire;Steel mesh Baby;mission-critical;innovative;Planner Operations;Licensed Plastic Cheese Accountability withdrawal;calculating
5;../fake-data/blob/hipster.png;image/png;reciprocal;matrix Mouse;programming programming whiteboard;input EXE;Agent;Internal;Money Market Account;firmware FTP;Liaison
6;../fake-data/blob/hipster.png;image/png;Liberia;enhance;JBOD;Intranet;Baby;Interactions;exploit Officer;neutral;American Samoa
7;../fake-data/blob/hipster.png;image/png;flexibility redundant Station;EXE Checking Account Chile;Money Market Account;Berkshire;Awesome;Ethiopian Birr Cove attitude;Customer invoice ADP;Berkshire Paraguay;plug-and-play
8;../fake-data/blob/hipster.png;image/png;Grocery middleware;empowering Intranet transmitting;Pre-emptive;XML e-commerce;Unbranded Distributed;magenta Taka;Washington Awesome;Chips multi-byte Officer;Colorado
9;../fake-data/blob/hipster.png;image/png;International XML circuit;Human invoice;redefine;Bacon Estonia Regional;invoice non-volatile;override Cotton;1080p leverage override;sticky;Iowa Auto Loan Account transmitter
10;../fake-data/blob/hipster.png;image/png;engage real-time;program productize;Automotive Buckinghamshire Ergonomic Concrete Table;open-source;New Hampshire;Supervisor;neural asynchronous;extensible;override Plastic
